date,region,product_category,units_sold,revenue
2023-01-01,North,Electronics,246,11620.73
2023-01-01,North,Apparel,138,7168.92
2023-01-01,North,Home,84,4938.06
2023-01-01,South,Electronics,203,9615.74
2023-01-01,South,Apparel,138,6169.83
2023-01-01,South,Home,72,3861.83
2023-01-01,East,Electronics,183,7472.49
2023-01-01,East,Apparel,95,4912.54
2023-01-01,East,Home,73,3484.55
2023-01-01,West,Electronics,147,6904.76
2023-01-01,West,Apparel,94,4483.61
2023-01-01,West,Home,67,3023.19
2023-02-01,North,Electronics,200,11323.57
2023-02-01,North,Apparel,144,7136.0
2023-02-01,North,Home,93,5297.81
2023-02-01,South,Electronics,163,8408.73
2023-02-01,South,Apparel,102,5736.49
2023-02-01,South,Home,78,3874.04
2023-02-01,East,Electronics,139,8078.03
2023-02-01,East,Apparel,107,5150.1
2023-02-01,East,Home,78,3302.52
2023-02-01,West,Electronics,166,7409.64
2023-02-01,West,Apparel,104,4365.45
2023-02-01,West,Home,52,2819.2
2023-03-01,North,Electronics,241,12423.43
2023-03-01,North,Apparel,124,7408.35
2023-03-01,North,Home,91,5104.18
2023-03-01,South,Electronics,167,8869.32
2023-03-01,South,Apparel,139,5722.13
2023-03-01,South,Home,93,4050.91
2023-03-01,East,Electronics,191,7740.61
2023-03-01,East,Apparel,123,5261.23
2023-03-01,East,Home,63,3539.73
2023-03-01,West,Electronics,130,6930.41
2023-03-01,West,Apparel,87,4448.69
2023-03-01,West,Home,51,3047.57
2023-04-01,North,Electronics,210,11545.36
2023-04-01,North,Apparel,117,6887.16
2023-04-01,North,Home,76,4568.71
2023-04-01,South,Electronics,161,9264.78
2023-04-01,South,Apparel,123,6193.27
2023-04-01,South,Home,96,4040.08
2023-04-01,East,Electronics,153,7976.85
2023-04-01,East,Apparel,84,4652.27
2023-04-01,East,Home,79,3779.54
2023-04-01,West,Electronics,137,6803.38
2023-04-01,West,Apparel,87,4598.29
2023-04-01,West,Home,59,2850.5
2023-05-01,North,Electronics,275,12048.93
2023-05-01,North,Apparel,140,7297.75
2023-05-01,North,Home,85,4761.83
2023-05-01,South,Electronics,209,9023.45
2023-05-01,South,Apparel,134,6478.25
2023-05-01,South,Home,98,4101.66
2023-05-01,East,Electronics,197,8102.62
2023-05-01,East,Apparel,103,4921.39
2023-05-01,East,Home,63,3285.14
2023-05-01,West,Electronics,147,6905.63
2023-05-01,West,Apparel,82,4366.89
2023-05-01,West,Home,70,3133.13
2023-06-01,North,Electronics,235,11196.55
2023-06-01,North,Apparel,132,7133.53
