week,region,revenue,profit_margin
2024-01-01,North,5156.43,0.2496
2024-01-01,South,4819.77,0.2005
2024-01-01,East,4075.33,0.2289
2024-01-01,West,3891.43,0.246
2024-01-08,North,4514.44,0.1912
2024-01-08,South,5033.55,0.2087
2024-01-08,East,4137.85,0.2417
2024-01-08,West,3828.05,0.319
2024-01-15,North,4878.41,0.1776
2024-01-15,South,4774.12,0.2734
2024-01-15,East,4118.49,0.1749
2024-01-15,West,3629.08,0.1592
2024-01-22,North,5597.67,0.2474
2024-01-22,South,4603.99,0.1693
2024-01-22,East,4149.07,0.234
2024-01-22,West,4070.92,0.3161
2024-01-29,North,5377.75,0.2003
2024-01-29,South,4734.77,0.1996
2024-01-29,East,4265.82,0.1949
2024-01-29,West,3911.79,0.2527
2024-02-05,North,5083.2,0.1796
2024-02-05,South,4432.34,0.1778
2024-02-05,East,4383.08,0.2114
2024-02-05,West,4086.24,0.3053
2024-02-12,North,4699.27,0.2578
2024-02-12,South,4403.18,0.1981
2024-02-12,East,3968.23,0.3171
2024-02-12,West,3642.69,0.2222
2024-02-19,North,4701.92,0.2068
2024-02-19,South,4840.8,0.2142
2024-02-19,East,4282.63,0.1633
2024-02-19,West,4027.68,0.2568
2024-02-26,North,4708.71,0.2007
2024-02-26,South,4706.9,0.2002
2024-02-26,East,4166.96,0.2894
2024-02-26,West,3473.12,0.1566
2024-03-04,North,4592.86,0.3032
2024-03-04,South,4706.57,0.2566
2024-03-04,West,3870.33,0.2402
2024-03-11,North,4526.62,0.2139
2024-03-11,South,4886.13,0.2946
2024-03-11,West,3585.79,0.1611
2024-03-18,North,5097.47,0.293
2024-03-18,South,4261.63,0.306
2024-03-18,West,4167.53,0.2677
2024-03-25,North,4738.88,0.2356
2024-03-25,South,4835.06,0.1794
2024-03-25,East,4085.87,0.2856
2024-03-25,West,3466.1,0.2845
2024-04-01,North,4629.99,0.2079
2024-04-01,South,4475.05,0.1766
2024-04-01,East,4154.96,0.2431
2024-04-01,West,3809.27,0.1783
2024-04-08,North,4633.06,0.2271
2024-04-08,South,4660.51,0.2021
2024-04-08,East,4182.9,0.2302
2024-04-08,West,4029.3,0.2485
2024-04-15,North,5515.12,0.2272
2024-04-15,South,5035.51,0.2507
2024-04-15,East,4083.73,0.3017
2024-04-15,West,3637.65,0.2632
2024-04-22,North,5232.68,0.2123
2024-04-22,South,4518.18,0.1816
2024-04-22,East,4256.65,0.262
2024-04-22,West,3893.92,0.2056
2024-04-29,North,4893.17,0.2825
2024-04-29,South,4449.66,0.2138
2024-04-29,East,4092.21,0.1953
2024-04-29,West,4206.79,0.155
2024-05-06,North,4651.81,0.1773
2024-05-06,South,5028.23,0.2317
2024-05-06,East,3937.81,0.286
2024-05-06,West,3893.7,0.256
2024-05-13,North,5067.08,0.1881
2024-05-13,South,4420.95,0.2167
2024-05-13,East,4399.54,0.1585
2024-05-13,West,3802.66,0.2183
2024-05-20,North,4617.96,0.2003
2024-05-20,South,4277.54,0.2996
2024-05-20,East,4370.43,0.2898
2024-05-20,West,3736.56,0.2383
2024-05-27,North,5055.18,0.2331
2024-05-27,South,4569.25,0.1748
2024-05-27,East,4311.97,0.2935
2024-05-27,West,3917.09,0.1585
2024-06-03,North,5021.36,0.2791
