date,product_id,category,units_sold,revenue,returns
2024-01-01,P001,Home,98,1664.04,6
2024-01-01,P002,Apparel,311,15478.47,10
2024-01-01,P003,Electronics,311,7336.49,0
2024-01-01,P004,Electronics,380,48431.0,10
2024-01-01,P005,Home,50,4863.5,2
2024-01-01,P006,Electronics,219,7533.6,11
2024-01-01,P007,Home,59,10080.15,2
2024-01-01,P008,Toys,561,24936.45,5
2024-01-01,P009,Home,456,89179.92,24
2024-01-01,P010,Toys,209,15672.91,2
2024-01-01,P011,Apparel,189,30678.48,7
2024-01-01,P012,Electronics,75,968.25,5
2024-01-01,P013,Electronics,417,82386.69,5
2024-01-01,P014,Apparel,112,11007.36,4
2024-01-01,P015,Home,233,34388.47,16
2024-01-01,P016,Home,98,4200.28,6
2024-01-01,P017,Home,380,52823.8,22
2024-01-01,P018,Home,441,49709.52,13
2024-01-01,P019,Toys,59,3597.82,0
2024-01-01,P020,Apparel,329,4925.13,19
2024-02-01,P001,Home,148,5573.68,7
2024-02-01,P002,Apparel,278,14539.4,20
2024-02-01,P003,Electronics,244,37527.2,4
2024-02-01,P004,Electronics,306,49186.44,21
2024-02-01,P005,Home,46,1320.2,2
2024-02-01,P006,Electronics,230,40749.1,6
2024-02-01,P007,Home,51,5760.96,0
2024-02-01,P008,Toys,342,32972.22,14
2024-02-01,P009,Home,367,5692.17,3
2024-02-01,P010,Toys,183,16217.46,6
2024-02-01,P011,Apparel,216,25658.64,7
2024-02-01,P012,Electronics,101,12843.16,7
2024-02-01,P013,Electronics,495,63261.0,27
2024-02-01,P014,Apparel,165,25390.2,3
2024-02-01,P015,Home,242,12637.24,15
2024-02-01,P016,Home,89,16368.88,5
2024-02-01,P017,Home,342,53177.58,9
2024-02-01,P018,Home,554,100534.38,2
2024-02-01,P019,Toys,41,1662.55,1
2024-02-01,P020,Apparel,350,49525.0,4
2024-03-01,P001,Home,117,14119.56,7
2024-03-01,P002,Apparel,311,42933.55,6
2024-03-01,P003,Electronics,309,39508.74,8
2024-03-01,P004,Electronics,310,53254.9,0
2024-03-01,P005,Home,56,2969.12,2
2024-03-01,P006,Electronics,254,16383.0,6
2024-03-01,P007,Home,54,5691.6,2
2024-03-01,P008,Toys,605,100563.1,15
2024-03-01,P009,Home,431,19795.83,12
2024-03-01,P010,Toys,163,31022.16,9
2024-03-01,P011,Apparel,181,33874.15,11
2024-03-01,P012,Electronics,89,13703.33,1
2024-03-01,P013,Electronics,339,10549.68,17
2024-03-01,P014,Apparel,148,8517.4,6
2024-03-01,P015,Home,181,16899.97,0
2024-03-01,P016,Home,52,6850.48,3
2024-03-01,P017,Home,342,46942.92,11
2024-03-01,P018,Home,504,86688.0,29
2024-03-01,P019,Toys,55,2952.4,2
2024-03-01,P020,Apparel,298,22993.68,15
2024-04-01,P001,Home,106,7636.24,6
2024-04-01,P002,Apparel,228,40884.96,9
2024-04-01,P003,Electronics,218,13300.18,8
2024-04-01,P004,Electronics,410,54804.7,17
2024-04-01,P005,Home,58,8579.36,1
2024-04-01,P006,Electronics,362,62553.6,11
2024-04-01,P007,Home,51,9846.06,3
2024-04-01,P008,Toys,459,31473.63,29
2024-04-01,P009,Home,500,97400.0,0
2024-04-01,P010,Toys,151,10378.23,5
2024-04-01,P011,Apparel,184,3841.92,9
2024-04-01,P012,Electronics,81,14754.15,2
2024-04-01,P013,Electronics,486,9302.04,37
2024-04-01,P014,Apparel,134,13725.62,9
2024-04-01,P015,Home,193,18188.32,4
2024-04-01,P016,Home,83,3476.87,0
2024-04-01,P017,Home,418,50578.0,25
2024-04-01,P018,Home,441,17834.04,31
2024-04-01,P019,Toys,51,1545.81,2
2024-04-01,P020,Apparel,311,8673.79,15
2024-05-01,P001,Home,112,7225.12,5
2024-05-01,P002,Apparel,282,33524.16,9
2024-05-01,P003,Electronics,358,14567.02,23
2024-05-01,P004,Electronics,387,23645.7,7
2024-05-01,P005,Home,40,5587.2,0
2024-05-01,P006,Electronics,288,34266.24,6
2024-05-01,P007,Home,60,5003.4,1
2024-05-01,P008,Toys,637,93269.54,41
2024-05-01,P009,Home,527,103755.76,26
2024-05-01,P010,Toys,214,7992.9,6
2024-05-01,P011,Apparel,159,5774.88,6
2024-05-01,P012,Electronics,110,15284.5,5
2024-05-01,P013,Electronics,421,14739.21,19
2024-05-01,P014,Apparel,142,20950.68,11
2024-05-01,P015,Home,160,3888.0,9
2024-05-01,P016,Home,68,3230.0,4
2024-05-01,P017,Home,450,20880.0,9
2024-05-01,P018,Home,505,60049.55,34
2024-05-01,P019,Toys,62,1910.22,3
2024-05-01,P020,Apparel,303,41317.08,15
2024-06-01,P001,Home,108,9199.44,5
2024-06-01,P002,Apparel,226,34822.08,9
2024-06-01,P003,Electronics,313,32523.83,10
2024-06-01,P004,Electronics,351,45033.3,14
2024-06-01,P005,Home,59,2447.91,2
2024-06-01,P006,Electronics,302,56860.56,17
2024-06-01,P007,Home,54,4301.1,3
2024-06-01,P008,Toys,505,28971.85,5
2024-06-01,P009,Home,441,11783.52,23
2024-06-01,P010,Toys,175,14388.5,9
2024-06-01,P011,Apparel,201,22936.11,1
2024-06-01,P012,Electronics,106,3795.86,4
2024-06-01,P013,Electronics,372,12417.36,17
2024-06-01,P014,Apparel,130,8004.1,8
2024-06-01,P015,Home,247,27505.92,0
2024-06-01,P016,Home,75,7653.0,2
2024-06-01,P017,Home,254,27640.28,1
2024-06-01,P018,Home,492,50676.0,3
2024-06-01,P019,Toys,55,3709.75,1
2024-06-01,P020,Apparel,382,61223.14,15
