customer_id,tenure_months,monthly_spend,support_tickets,churned
C0000,42,244.86,2,True
C0001,50,240.23,3,False
C0002,21,280.59,2,False
C0003,41,63.45,0,False
C0004,16,81.22,5,True
C0005,13,183.87,0,False
C0006,11,124.6,2,True
C0007,8,177.83,1,True
C0008,39,125.08,3,False
C0009,23,29.25,2,False
C0010,11,205.22,0,True
C0011,45,49.03,0,False
C0012,19,119.27,2,True
C0013,44,291.79,1,False
C0014,23,268.44,2,False
C0015,25,156.16,2,False
C0016,58,190.96,0,False
C0017,39,194.8,3,True
C0018,13,118.16,2,True
C0019,49,88.93,0,False
C0020,22,84.75,2,False
C0021,4,227.63,3,True
C0022,23,176.98,1,True
C0023,32,68.57,1,False
C0024,46,39.7,1,False
C0025,45,186.85,1,False
C0026,51,218.35,1,False
C0027,49,52.95,0,True
C0028,46,22.62,4,False
C0029,13,187.92,2,True
C0030,57,120.58,0,False
C0031,29,290.38,0,False
C0032,11,159.11,1,False
C0033,22,134.58,3,False
C0034,21,291.51,0,False
C0035,16,185.76,2,False
C0036,44,289.3,1,False
C0037,48,192.33,2,False
C0038,35,64.43,0,False
C0039,34,102.55,4,True
C0040,3,195.0,1,True
C0041,34,80.1,0,True
C0042,58,41.13,0,False
C0043,16,230.32,1,False
C0044,28,248.65,2,True
C0045,42,260.27,0,False
C0046,19,280.85,4,False
C0047,4,120.8,2,False
C0048,53,188.0,2,False
C0049,58,80.29,1,False
C0050,3,96.98,1,True
C0051,30,32.55,2,False
C0052,37,115.28,1,False
C0053,12,298.41,2,False
C0054,41,165.51,1,False
C0055,28,256.28,1,False
C0056,7,156.54,2,False
C0057,43,200.45,1,False
C0058,43,250.7,3,True
C0059,49,229.74,1,False
C0060,24,213.76,1,True
C0061,52,284.22,1,False
C0062,31,204.65,1,False
C0063,46,43.68,1,False
C0064,58,289.89,1,False
C0065,23,85.15,1,True
C0066,17,231.24,0,False
C0067,18,100.15,2,False
C0068,8,192.99,2,False
C0069,42,130.74,1,False
C0070,9,135.39,5,False
C0071,28,149.57,1,False
C0072,21,264.23,1,True
C0073,32,297.49,0,False
C0074,2,107.73,1,True
C0075,51,94.84,0,False
C0076,35,205.9,6,True
C0077,7,64.35,1,True
C0078,38,287.88,1,False
C0079,3,177.35,2,True
C0080,30,276.49,1,False
C0081,15,151.9,0,False
C0082,42,81.72,1,False
