month,channel,spend,revenue_attributed
2024-01-01,Search,14572.93,68852.28
2024-01-01,Social,6450.94,13474.67
2024-01-01,Email,10946.58,66600.27
2024-01-01,Display,18250.53,31576.03
2024-01-01,Affiliate,14183.07,44932.7
2024-02-01,Search,13340.89,42973.79
2024-02-01,Social,7983.13,16499.08
2024-02-01,Email,9881.91,53561.63
2024-02-01,Display,11838.08,16724.03
2024-02-01,Affiliate,14022.51,39384.48
2024-03-01,Search,16026.48,61930.08
2024-03-01,Social,17030.25,35972.92
2024-03-01,Email,10274.58,59077.19
2024-03-01,Display,15858.5,25437.41
2024-03-01,Affiliate,10653.66,31594.87
2024-04-01,Search,10226.19,47404.76
2024-04-01,Social,14184.99,29486.94
2024-04-01,Email,14619.52,79035.86
2024-04-01,Display,10069.98,15595.13
2024-04-01,Affiliate,8334.39,25274.3
2024-05-01,Search,13348.99,59663.5
2024-05-01,Social,13905.48,24316.17
2024-05-01,Email,17813.08,87835.71
2024-05-01,Display,7339.66,11497.45
2024-05-01,Affiliate,15242.62,43467.83
2024-06-01,Search,13169.65,49854.93
2024-06-01,Social,5476.08,11253.69
2024-06-01,Email,12321.35,60367.13
2024-06-01,Display,15869.64,25328.28
2024-06-01,Affiliate,18794.67,47717.94
