date,sku,warehouse,stock_level,reorder_point,stockout_days
2024-01-01,SKU001,W1,148,104,0
2024-01-01,SKU001,W2,221,148,0
2024-01-01,SKU001,W3,122,73,0
2024-01-01,SKU002,W1,43,63,0
2024-01-01,SKU002,W2,150,123,0
2024-01-01,SKU002,W3,48,55,1
2024-01-01,SKU003,W1,107,76,0
2024-01-01,SKU003,W2,129,79,0
2024-01-01,SKU003,W3,113,82,0
2024-01-01,SKU004,W1,110,89,0
2024-01-01,SKU004,W2,64,51,0
2024-01-01,SKU004,W3,60,54,0
2024-01-01,SKU005,W1,122,101,0
2024-01-01,SKU005,W2,75,59,0
2024-01-01,SKU005,W3,109,66,0
2024-01-01,SKU006,W1,148,119,0
2024-01-01,SKU006,W2,76,56,0
2024-01-01,SKU006,W3,108,64,0
2024-01-01,SKU007,W1,71,83,3
2024-01-01,SKU007,W2,77,69,0
2024-01-01,SKU007,W3,88,84,0
2024-01-01,SKU008,W1,85,76,0
2024-01-01,SKU008,W2,179,127,0
2024-01-01,SKU008,W3,208,126,0
2024-01-01,SKU009,W1,62,80,1
2024-01-01,SKU009,W2,57,60,1
2024-01-01,SKU009,W3,210,138,0
2024-01-01,SKU010,W1,126,75,0
2024-01-01,SKU010,W2,68,77,1
2024-01-01,SKU010,W3,75,61,0
2024-01-01,SKU011,W1,84,51,0
2024-01-01,SKU011,W2,130,116,0
2024-01-01,SKU011,W3,188,132,0
2024-01-01,SKU012,W1,100,87,0
2024-01-01,SKU012,W2,150,81,0
2024-01-01,SKU012,W3,45,63,4
2024-01-01,SKU013,W1,86,52,0
2024-01-01,SKU013,W2,59,77,0
2024-01-01,SKU013,W3,57,52,0
2024-01-01,SKU014,W1,110,95,0
2024-01-01,SKU014,W2,52,100,2
2024-01-01,SKU014,W3,154,102,0
2024-01-01,SKU015,W1,153,126,0
2024-01-01,SKU015,W2,87,65,0
2024-01-01,SKU015,W3,139,127,0
2024-01-01,SKU016,W1,127,140,1
2024-01-01,SKU016,W2,132,68,0
2024-01-01,SKU016,W3,42,105,1
2024-01-01,SKU017,W1,139,99,0
2024-01-01,SKU017,W2,85,79,0
2024-01-01,SKU017,W3,109,102,0
2024-01-01,SKU018,W1,155,136,0
2024-01-01,SKU018,W2,238,141,0
2024-01-01,SKU018,W3,127,84,0
