customer_id,segment,total_spend,purchase_frequency,avg_order_value
C0000,Standard,283.7,6,47.28
C0001,Standard,316.37,8,39.55
C0002,Standard,383.13,4,95.78
C0003,Budget,79.39,4,19.85
C0004,Standard,344.66,4,86.16
C0005,Premium,726.07,10,72.61
C0006,Standard,350.69,6,58.45
C0007,Budget,121.09,3,40.36
C0008,Premium,758.94,13,58.38
C0009,Budget,114.18,1,114.18
C0010,Standard,283.04,7,40.43
C0011,Standard,390.14,8,48.77
C0012,Premium,679.5,11,61.77
C0013,Premium,828.59,12,69.05
C0014,Budget,69.81,1,69.81
C0015,Budget,84.36,2,42.18
C0016,Standard,327.66,6,54.61
C0017,Standard,335.3,6,55.88
C0018,Premium,878.55,10,87.85
C0019,Budget,154.91,3,51.64
C0020,Standard,347.45,6,57.91
C0021,Budget,76.99,1,76.99
C0022,Standard,302.98,3,100.99
C0023,Standard,346.64,4,86.66
C0024,Budget,84.15,1,84.15
C0025,Budget,76.11,4,19.03
C0026,Budget,127.18,3,42.39
C0027,Premium,828.75,13,63.75
C0028,Standard,185.83,3,61.94
C0029,Standard,290.2,7,41.46
C0030,Premium,858.82,8,107.35
C0031,Standard,326.58,5,65.32
C0032,Premium,860.05,11,78.19
C0033,Premium,855.4,12,71.28
C0034,Standard,267.96,4,66.99
C0035,Standard,284.38,4,71.1
C0036,Budget,108.77,3,36.26
C0037,Standard,285.25,5,57.05
C0038,Premium,983.06,13,75.62
C0039,Premium,660.85,10,66.09
C0040,Standard,308.19,6,51.36
C0041,Premium,875.41,10,87.54
C0042,Standard,322.71,4,80.68
C0043,Standard,314.49,11,28.59
C0044,Standard,280.43,6,46.74
C0045,Standard,271.83,5,54.37
C0046,Standard,219.26,7,31.32
C0047,Standard,271.68,5,54.34
C0048,Standard,330.16,6,55.03
C0049,Standard,396.14,7,56.59
C0050,Standard,237.2,3,79.07
C0051,Standard,212.61,5,42.52
C0052,Standard,439.09,5,87.82
C0053,Budget,76.31,1,76.31
C0054,Premium,1044.97,10,104.5
C0055,Budget,119.7,1,119.7
C0056,Standard,362.13,7,51.73
C0057,Standard,280.41,3,93.47
C0058,Budget,104.08,5,20.82
C0059,Budget,108.32,6,18.05
C0060,Standard,247.66,6,41.28
C0061,Standard,387.49,8,48.44
C0062,Standard,180.63,4,45.16
C0063,Standard,273.42,3,91.14
C0064,Premium,645.39,12,53.78
C0065,Premium,778.85,13,59.91
C0066,Budget,115.56,1,115.56
C0067,Budget,84.3,2,42.15
C0068,Standard,332.93,4,83.23
C0069,Budget,69.0,6,11.5
C0070,Standard,398.98,4,99.74
C0071,Standard,281.11,7,40.16
C0072,Standard,361.49,7,51.64
C0073,Premium,816.43,16,51.03
C0074,Standard,301.35,7,43.05
C0075,Budget,109.29,2,54.64
C0076,Budget,102.76,6,17.13
C0077,Standard,347.42,6,57.9
C0078,Budget,137.85,1,137.85
C0079,Standard,218.82,1,218.82
C0080,Standard,203.39,9,22.6
C0081,Budget,120.14,4,30.04
C0082,Standard,198.1,4,49.52
C0083,Budget,132.13,3,44.04
C0084,Premium,980.78,13,75.44
C0085,Standard,375.29,5,75.06
C0086,Standard,371.34,10,37.13
C0087,Premium,776.32,11,70.57
C0088,Standard,315.12,5,63.02
C0089,Budget,95.32,1,95.32
C0090,Budget,124.98,3,41.66
C0091,Standard,474.09,7,67.73
C0092,Standard,333.65,3,111.22
C0093,Budget,96.48,1,96.48
C0094,Budget,109.41,1,109.41
C0095,Standard,176.57,8,22.07
C0096,Premium,807.28,14,57.66
C0097,Standard,372.7,4,93.18
C0098,Premium,844.7,10,84.47
C0099,Standard,328.98,7,47.0
C0100,Premium,981.46,11,89.22
C0101,Standard,358.56,6,59.76
C0102,Premium,901.18,16,56.32
C0103,Standard,308.31,6,51.38
C0104,Standard,381.49,6,63.58
C0105,Premium,701.72,10,70.17
C0106,Budget,98.44,3,32.81
C0107,Premium,929.84,10,92.98
C0108,Budget,115.84,4,28.96
C0109,Standard,378.06,4,94.52
C0110,Budget,78.34,5,15.67
C0111,Premium,669.13,14,47.8
C0112,Standard,324.49,7,46.36
C0113,Standard,227.87,10,22.79
C0114,Standard,357.14,3,119.05
C0115,Budget,113.05,3,37.68
C0116,Budget,116.97,1,116.97
C0117,Premium,703.42,11,63.95
C0118,Budget,103.61,1,103.61
C0119,Standard,282.46,5,56.49
C0120,Standard,218.61,4,54.65
C0121,Premium,698.81,10,69.88
C0122,Premium,948.55,15,63.24
C0123,Premium,796.44,11,72.4
C0124,Standard,271.05,5,54.21
C0125,Standard,298.09,7,42.58
C0126,Standard,388.64,7,55.52
C0127,Standard,286.27,6,47.71
C0128,Standard,310.15,7,44.31
C0129,Premium,895.17,15,59.68
C0130,Standard,194.02,7,27.72
C0131,Standard,261.77,5,52.35
C0132,Standard,274.05,6,45.68
C0133,Standard,334.43,5,66.89
C0134,Budget,95.97,5,19.19
C0135,Premium,785.72,11,71.43
C0136,Standard,229.71,5,45.94
C0137,Budget,75.6,5,15.12
C0138,Budget,125.75,1,125.75
C0139,Premium,829.5,11,75.41
C0140,Budget,126.94,1,126.94
C0141,Standard,247.55,9,27.51
C0142,Standard,310.09,6,51.68
C0143,Budget,116.28,2,58.14
C0144,Budget,93.85,2,46.92
C0145,Standard,299.89,3,99.96
C0146,Budget,71.15,2,35.58
C0147,Standard,175.14,4,43.78
C0148,Premium,631.89,12,52.66
C0149,Standard,198.78,5,39.76
C0150,Premium,570.6,11,51.87
C0151,Budget,100.1,5,20.02
C0152,Budget,93.3,1,93.3
C0153,Premium,943.71,15,62.91
C0154,Budget,123.31,4,30.83
C0155,Budget,116.09,3,38.7
C0156,Standard,319.11,6,53.18
C0157,Budget,94.61,2,47.3
C0158,Standard,340.31,5,68.06
C0159,Standard,219.85,6,36.64
C0160,Standard,248.49,8,31.06
C0161,Standard,360.36,7,51.48
C0162,Standard,285.4,8,35.67
C0163,Budget,117.2,2,58.6
C0164,Premium,869.66,10,86.97
C0165,Budget,104.86,3,34.95
C0166,Standard,347.83,8,43.48
C0167,Standard,301.19,5,60.24
C0168,Budget,85.58,2,42.79
C0169,Standard,279.85,8,34.98
C0170,Budget,114.24,5,22.85
C0171,Premium,627.85,12,52.32
C0172,Budget,128.63,2,64.32
C0173,Standard,299.29,8,37.41
C0174,Premium,858.33,15,57.22
C0175,Budget,116.46,5,23.29
C0176,Premium,976.58,11,88.78
C0177,Standard,244.72,4,61.18
C0178,Standard,307.44,5,61.49
C0179,Budget,80.46,2,40.23
C0180,Budget,104.4,2,52.2
C0181,Standard,324.04,6,54.01
C0182,Budget,105.48,1,105.48
C0183,Standard,296.63,5,59.33
C0184,Standard,275.45,5,55.09
C0185,Standard,292.22,6,48.7
C0186,Premium,475.09,10,47.51
C0187,Premium,802.87,8,100.36
C0188,Premium,826.53,10,82.65
C0189,Budget,112.68,5,22.54
C0190,Standard,350.02,4,87.5
C0191,Standard,297.68,5,59.54
C0192,Standard,312.39,10,31.24
C0193,Standard,307.73,9,34.19
C0194,Budget,113.92,8,14.24
C0195,Premium,790.4,9,87.82
C0196,Standard,394.61,8,49.33
C0197,Standard,375.59,7,53.66
C0198,Budget,82.82,4,20.7
C0199,Premium,701.72,10,70.17
C0200,Budget,81.52,4,20.38
C0201,Standard,288.32,3,96.11
C0202,Standard,268.32,9,29.81
C0203,Standard,313.31,3,104.44
C0204,Standard,312.92,4,78.23
C0205,Budget,96.0,2,48.0
C0206,Budget,85.47,3,28.49
C0207,Standard,263.09,8,32.89
C0208,Standard,374.29,2,187.14
C0209,Budget,95.66,2,47.83
C0210,Budget,108.54,4,27.14
C0211,Standard,279.74,3,93.25
C0212,Premium,1045.72,11,95.07
C0213,Budget,91.41,1,91.41
C0214,Standard,256.12,6,42.69
C0215,Budget,86.88,2,43.44
C0216,Budget,105.64,1,105.64
C0217,Budget,79.19,1,79.19
C0218,Standard,176.52,4,44.13
C0219,Budget,123.01,4,30.75
C0220,Standard,403.86,6,67.31
C0221,Budget,133.42,1,133.42
C0222,Standard,272.22,4,68.06
C0223,Standard,344.68,6,57.45
C0224,Standard,342.17,6,57.03
C0225,Premium,961.13,11,87.38
C0226,Premium,791.45,11,71.95
C0227,Budget,95.4,1,95.4
C0228,Standard,325.82,9,36.2
C0229,Premium,734.57,13,56.51
C0230,Standard,240.11,4,60.03
C0231,Standard,337.11,3,112.37
C0232,Budget,143.99,2,72.0
C0233,Standard,276.25,5,55.25
C0234,Standard,296.52,5,59.3
C0235,Budget,66.1,3,22.03
C0236,Standard,383.47,6,63.91
C0237,Standard,361.14,6,60.19
C0238,Standard,250.79,3,83.6
C0239,Budget,96.99,1,96.99
C0240,Budget,65.62,3,21.87
C0241,Budget,113.74,4,28.44
C0242,Premium,777.85,10,77.78
C0243,Budget,120.36,3,40.12
C0244,Premium,866.59,8,108.32
C0245,Standard,339.96,7,48.57
C0246,Standard,271.8,5,54.36
C0247,Premium,774.27,9,86.03
C0248,Budget,134.27,1,134.27
C0249,Standard,236.16,7,33.74
C0250,Standard,217.43,7,31.06
C0251,Standard,389.67,4,97.42
C0252,Standard,296.25,7,42.32
C0253,Standard,343.42,3,114.47
C0254,Budget,106.5,4,26.62
C0255,Standard,325.6,2,162.8
C0256,Standard,222.87,4,55.72
C0257,Budget,87.97,1,87.97
C0258,Budget,94.06,3,31.35
C0259,Standard,268.64,5,53.73
C0260,Premium,822.48,11,74.77
C0261,Standard,296.69,5,59.34
C0262,Budget,63.62,5,12.72
C0263,Standard,364.63,7,52.09
C0264,Standard,201.82,8,25.23
C0265,Premium,905.31,16,56.58
C0266,Standard,281.42,6,46.9
C0267,Standard,328.45,5,65.69
C0268,Premium,1000.58,11,90.96
C0269,Standard,249.88,6,41.65
C0270,Budget,97.34,1,97.34
C0271,Budget,98.62,2,49.31
C0272,Standard,204.84,4,51.21
C0273,Premium,540.9,12,45.08
C0274,Premium,823.71,12,68.64
C0275,Premium,876.69,12,73.06
C0276,Standard,274.8,7,39.26
C0277,Budget,52.9,4,13.22
C0278,Premium,813.91,10,81.39
C0279,Standard,365.34,5,73.07
C0280,Budget,94.1,3,31.37
C0281,Standard,274.94,9,30.55
C0282,Standard,272.68,8,34.08
C0283,Standard,283.4,5,56.68
