date,product_id,price,units_sold
2024-01-01,P01,88.48,897
2024-02-01,P01,88.48,699
2024-03-01,P01,88.48,814
2024-04-01,P01,88.48,840
2024-05-01,P01,110.6,510
2024-06-01,P01,110.6,591
2024-07-01,P01,110.6,636
2024-08-01,P01,110.6,723
2024-01-01,P02,62.62,622
2024-02-01,P02,62.62,551
2024-03-01,P02,62.62,626
2024-04-01,P02,62.62,696
2024-05-01,P02,62.62,650
2024-06-01,P02,62.62,507
2024-07-01,P02,62.62,523
2024-08-01,P02,62.62,508
2024-01-01,P03,25.7,483
2024-02-01,P03,25.7,420
2024-03-01,P03,25.7,493
2024-04-01,P03,25.7,414
2024-05-01,P03,25.7,420
2024-06-01,P03,25.7,410
2024-07-01,P03,25.7,426
2024-08-01,P03,25.7,431
2024-01-01,P04,85.4,536
2024-02-01,P04,85.4,511
2024-03-01,P04,85.4,571
2024-04-01,P04,85.4,607
2024-05-01,P04,85.4,591
2024-06-01,P04,85.4,514
2024-07-01,P04,85.4,610
2024-08-01,P04,85.4,544
2024-01-01,P05,28.96,578
2024-02-01,P05,28.96,724
2024-03-01,P05,28.96,668
2024-04-01,P05,28.96,611
2024-05-01,P05,28.96,627
2024-06-01,P05,28.96,654
2024-07-01,P05,28.96,629
2024-08-01,P05,28.96,611
2024-01-01,P06,29.64,342
2024-02-01,P06,29.64,337
2024-03-01,P06,29.64,297
2024-04-01,P06,29.64,371
2024-05-01,P06,29.64,367
2024-06-01,P06,29.64,374
2024-07-01,P06,29.64,329
2024-08-01,P06,29.64,399
2024-01-01,P07,29.47,413
2024-02-01,P07,29.47,411
2024-03-01,P07,29.47,442
2024-04-01,P07,29.47,507
2024-05-01,P07,29.47,428
2024-06-01,P07,29.47,472
2024-07-01,P07,29.47,446
2024-08-01,P07,29.47,399
2024-01-01,P08,57.89,607
2024-02-01,P08,57.89,554
2024-03-01,P08,57.89,573
2024-04-01,P08,57.89,626
2024-05-01,P08,57.89,590
2024-06-01,P08,57.89,658
2024-07-01,P08,57.89,512
2024-08-01,P08,57.89,551
2024-01-01,P09,28.88,319
2024-02-01,P09,28.88,329
2024-03-01,P09,28.88,277
2024-04-01,P09,28.88,281
2024-05-01,P09,28.88,333
2024-06-01,P09,28.88,257
2024-07-01,P09,28.88,324
2024-08-01,P09,28.88,253
2024-01-01,P10,45.45,587
2024-02-01,P10,45.45,554
2024-03-01,P10,45.45,581
2024-04-01,P10,45.45,576
2024-05-01,P10,45.45,518
2024-06-01,P10,45.45,499
2024-07-01,P10,45.45,549
2024-08-01,P10,45.45,585
